yaxcatd (/Applications/Tableau Desktop 2024.2.app/Contents/MacOS/yaxcat/yaxcatd) built at 26ca6db listening on unix:/var/folders/wm/852755ps3yx0nw0t0b5fp4q00000gn/T/tableau-temp/LD/0se33au17q3cwv17r6rm9150d6mu/yaxcatd with 8 worker threads.
0.019ms; [no ensemble]::AggModelServiceImpl::ping: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
5.536ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
5.538ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.052ms; [no ensemble]::AggModelServiceImpl::ping: 
0.630ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.454ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.464ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.449ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.448ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.481ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.039ms; [no ensemble]::AggModelServiceImpl::ping: 
0.524ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.005ms; [no ensemble]::AggModelServiceImpl::ping: 
0.445ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.004ms; [no ensemble]::AggModelServiceImpl::ping: 
0.475ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.002ms; [no ensemble]::AggModelServiceImpl::ping: 
0.347ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.441ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.444ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.001ms; [no ensemble]::AggModelServiceImpl::ping: 
0.340ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.496ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.006ms; [no ensemble]::AggModelServiceImpl::ping: 
0.468ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
0.003ms; [no ensemble]::AggModelServiceImpl::ping: 
0.428ms; [no ensemble]::AggModelServiceImpl::mark_stats: 
